# A3
B;Denfert Rochereau;Cite Universitaire;0.0
B;Denfert Rochereau;Port Royal;0.0
B;Port Royal;Denfert Rochereau;0.0
B;Port Royal;Luxembourg;0.0
B;Luxembourg;Port Royal;0.0
B;Luxembourg;St Michel Notre Dame;0.0
B;St Michel Notre Dame;Luxembourg;0.0
B;St Michel Notre Dame;Chatelet Les Halles;0.0
B;Chatelet Les Halles;St Michel Notre Dame;0.0
B;Chatelet Les Halles;Gare du Nord;0.0
B;Gare du Nord;Chatelet Les Halles;0.0
B;Gare du Nord;La Plaine Stade de France;0.0
B;La Plaine Stade de France;Gare du Nord;0.0
B;La Plaine Stade de France;La Courneuve Aubervilliers;0.0
B;La Courneuve Aubervilliers;La Plaine Stade de France;0.0
B;La Courneuve Aubervilliers;Le Bourget;0.0
B;Le Bourget;La Courneuve Aubervilliers;0.0
B;Le Bourget;Drancy;0.0
B;Drancy;Le Bourget;0.0
B;Drancy;Le Blanc Mesnil;0.0
B;Le Blanc Mesnil;Drancy;0.0
B;Le Blanc Mesnil;Aulnay sous Bois;0.0
B;Aulnay sous Bois;Le Blanc Mesnil;0.0
# P a Gare du Nord
P;Gare du Nord;La Chapelle;0.0
P;La Chapelle;Gare du Nord;0.0
P;Gare du Nord;Magenta;0.0
P;Magenta;Gare du Nord;0.0
P;Gare de l'Est;Magenta;0.0
P;Magenta;Gare de l'Est;0.0
# P St Michel
P;Cluny.La Sorbonne;St Michel Notre Dame;0.0
P;St Michel Notre Dame;Cluny.La Sorbonne;0.0
P;Saint Michel;St Michel Notre Dame;0.0
P;St Michel Notre Dame;Saint Michel;0.0
# B3
B3;Aeroport Charles de Gaulle-2;Aeroport Charles de Gaulle-1;0.0
B3;Aeroport Charles de Gaulle-1;Aeroport Charles de Gaulle-2;0.0
B3;Aeroport Charles de Gaulle-1;Parc des Expositions;0.0
B3;Parc des Expositions;Aeroport Charles de Gaulle-1;0.0
B3;Parc des Expositions;Villepinte;0.0
B3;Villepinte;Parc des Expositions;0.0
B3;Villepinte;Sevran Beaudottes;0.0
B3;Sevran Beaudottes;Villepinte;0.0
B3;Sevran Beaudottes;Aulnay sous Bois;0.0
B3;Aulnay sous Bois;Sevran Beaudottes;0.0
# B5
B5;Mitry Claye;Villeparisis Mitry le Neuf;0.0
B5;Villeparisis Mitry le Neuf;Mitry Claye;0.0
B5;Villeparisis Mitry le Neuf;Vert Galant;0.0
B5;Vert Galant;Villeparisis Mitry le Neuf;0.0
B5;Vert Galant;Sevran Livry;0.0
B5;Sevran Livry;Vert Galant;0.0
B5;Sevran Livry;Aulnay sous Bois;0.0
B5;Aulnay sous Bois;Sevran Livry;0.0
# C1
C1;Pontoise;St Ouen l'Aumone;0.0
C1;St Ouen l'Aumone;Pontoise;0.0
C1;St Ouen l'Aumone;St Ouen l'Aumone Liesse;0.0
C1;St Ouen l'Aumone Liesse;St Ouen l'Aumone;0.0
C1;St Ouen l'Aumone Liesse;Pierrelaye;0.0
C1;Pierrelaye;St Ouen l'Aumone Liesse;0.0
C1;Pierrelaye;Montigny Beauchamp;0.0
C1;Montigny Beauchamp;Pierrelaye;0.0
C1;Montigny Beauchamp;Franconville Le Plessis Bouchard;0.0
C1;Franconville Le Plessis Bouchard;Montigny Beauchamp;0.0
C1;Franconville Le Plessis Bouchard;Cernay;0.0
C1;Cernay;Franconville Le Plessis Bouchard;0.0
C1;Cernay;Ermont Eaubonne;0.0
C1;Ermont Eaubonne;Cernay;0.0
C1;Ermont Eaubonne;Saint Gratien;0.0
C1;Saint Gratien;Ermont Eaubonne;0.0
C1;Saint Gratien;Epinay sur Seine;0.0
C1;Epinay sur Seine;Saint Gratien;0.0
C1;Epinay sur Seine;Gennevilliers;0.0
C1;Gennevilliers;Epinay sur Seine;0.0
C1;Gennevilliers;Les Gresillions;0.0
C1;Les Gresillions;Gennevilliers;0.0
C1;Les Gresillions;Saint Ouen;0.0
C1;Saint Ouen;Les Gresillions;0.0
